iter	Passed	Remaining
660	11433	161543
661	11441	161386
662	11459	161387
663	11477	161371
664	11497	161393
665	11516	161408
666	11525	161272
667	11548	161334
668	11562	161268
669	11580	161263
670	11591	161162
671	11622	161334
672	11650	161457
673	11670	161477
674	11685	161434
675	11705	161452
676	11725	161467
677	11743	161470
678	11761	161463
679	11779	161455
680	11792	161374
681	11811	161381
682	11818	161223
683	11836	161215
684	11855	161214
685	11877	161260
686	11895	161252
687	11912	161238
688	11929	161216
689	11948	161214
690	11966	161214
691	11984	161206
692	12002	161199
693	12022	161206
694	12039	161186
695	12057	161183
696	12075	161173
697	12092	161152
698	12110	161138
699	12126	161106
700	12131	160930
701	12149	160914
702	12166	160896
703	12183	160878
704	12201	160863
705	12220	160879
706	12233	160794
707	12250	160783
708	12269	160780
709	12287	160775
710	12305	160772
711	12322	160751
712	12341	160747
713	12359	160739
714	12377	160732
715	12395	160724
716	12414	160725
717	12426	160640
718	12443	160628
719	12460	160601
720	12477	160578
721	12494	160562
722	12512	160556
723	12530	160546
724	12537	160388
725	12556	160400
726	12563	160253
727	12581	160239
728	12599	160232
729	12617	160229
730	12635	160222
731	12653	160212
732	12659	160052
733	12671	159969
734	12689	159959
735	12707	159945
736	12724	159932
737	12743	159929
738	12750	159791
739	12769	159791
740	12787	159785
741	12808	159814
742	12827	159814
743	12847	159835
744	12868	159862
745	12892	159928
746	12905	159854
747	12912	159718
748	12931	159715
749	12949	159709
750	12967	159698
751	12979	159615
752	12996	159593
753	13013	159575
754	13030	159557
755	13048	159548
756	13059	159462
757	13077	159445
758	13094	159425
759	13111	159413
760	13129	159394
761	13147	159389
762	13165	159379
763	13185	159394
764	13202	159384
765	13220	159374
766	13238	159361
767	13244	159205
768	13256	159128
769	13273	159112
770	13291	159097
771	13308	159083
772	13320	159003
773	13339	159009
774	13347	158877
775	13364	158864
776	13383	158857
777	13401	158850
778	13419	158840
779	13436	158825
780	13445	158715
781	13463	158703
782	13480	158685
783	13497	158670
784	13516	158672
785	13537	158698
786	13556	158700
787	13574	158696
788	13594	158700
789	13614	158722
790	13622	158594
791	13639	158582
792	13659	158595
793	13677	158587
794	13695	158571
795	13707	158498
796	13724	158482
797	13742	158468
798	13761	158468
799	13783	158508
800	13848	159038
801	13891	159314
802	13931	159558
803	13957	159645
804	13968	159550
805	13987	159551
806	14004	159536
807	14022	159518
808	14039	159502
809	14058	159498
810	14076	159488
811	14093	159470
812	14109	159444
813	14127	159428
814	14145	159423
815	14152	159280
816	14170	159270
817	14187	159251
818	14195	159126
819	14207	159050
820	14223	159023
821	14241	159017
822	14259	158998
823	14277	158997
824	14286	158888
825	14304	158870
826	14311	158743
827	14329	158735
828	14347	158722
829	14365	158709
830	14384	158716
831	14392	158598
832	14410	158586
833	14430	158595
834	14449	158592
835	14468	158597
836	14486	158592
837	14505	158587
838	14524	158591
839	14542	158582
840	14560	158568
841	14578	158563
842	14596	158551
843	14615	158554
844	14633	158547
845	14651	158533
846	14669	158518
847	14686	158506
848	14708	158533
849	14731	158583
850	14745	158528
851	14764	158532
852	14782	158516
853	14801	158520
854	14820	158518
855	14839	158518
856	14861	158552
857	14887	158630
858	14908	158649
859	14927	158650
860	14945	158637
861	14964	158641
862	14983	158640
863	15000	158618
864	15018	158605
865	15035	158588
866	15053	158575
867	15071	158563
868	15089	158555
869	15108	158548
870	15125	158535
871	15143	158518
872	15160	158501
873	15178	158484
874	15195	158471
875	15207	158399
876	15225	158383
877	15243	158368
878	15260	158352
879	15277	158335
880	15294	158313
881	15312	158300
882	15330	158291
883	15348	158282
884	15366	158262
885	15382	158238
886	15400	158222
887	15417	158202
888	15434	158185
889	15453	158177
890	15471	158167
891	15489	158159
892	15507	158151
893	15518	158066
894	15538	158074
895	15558	158080
896	15575	158062
897	15592	158047
898	15611	158041
899	15629	158032
900	15647	158020
901	15668	158035
902	15675	157913
903	15693	157909
904	15712	157909
905	15731	157906
906	15741	157812
907	15759	157806
908	15777	157794
909	15798	157808
910	15825	157893
911	15844	157892
912	15867	157928
913	15893	157994
914	15916	158031
915	15935	158036
916	15954	158026
917	15971	158006
918	15988	157989
919	16006	157973
920	16024	157967
921	16034	157874
922	16051	157855
923	16071	157862
924	16089	157854
925	16108	157846
926	16126	157834
927	16143	157820
928	16161	157802
929	16179	157795
930	16197	157782
931	16215	157775
932	16233	157757
933	16252	157760
934	16269	157740
935	16286	157718
936	16304	157700
937	16322	157691
938	16339	157671
939	16356	157650
940	16373	157630
941	16391	157615
942	16408	157597
943	16425	157576
944	16438	157516
945	16455	157496
946	16474	157485
947	16499	157543
948	16522	157579
949	16553	157696
950	16582	157784
951	16613	157900
952	16637	157946
953	16662	157995
954	16683	158012
955	16703	158014
956	16721	158004
957	16741	158009
958	16759	158003
959	16777	157987
960	16795	157973
961	16814	157974
962	16835	157983
963	16854	157984
964	16874	157986
965	16894	157998
966	16913	157993
967	16930	157975
968	16949	157963
969	16966	157950
970	16984	157937
971	17003	157928
972	17021	157916
973	17039	157901
974	17056	157879
975	17073	157857
976	17090	157836
977	17107	157815
978	17124	157790
979	17141	157774
980	17158	157753
981	17177	157744
982	17194	157727
983	17212	157708
984	17229	157688
985	17247	157672
986	17264	157651
987	17282	157642
988	17299	157621
989	17316	157594
990	17334	157587
991	17355	157601
992	17374	157594
993	17391	157572
994	17408	157555
995	17426	157533
996	17443	157515
997	17460	157498
998	17477	157473
999	17494	157454
1000	17511	157431
1001	17529	157415
1002	17546	157393
1003	17564	157381
1004	17582	157363
1005	17600	157353
1006	17618	157338
1007	17635	157319
1008	17652	157295
1009	17670	157283
1010	17687	157261
1011	17704	157241
1012	17721	157217
1013	17739	157202
1014	17756	157182
1015	17774	157172
1016	17792	157155
1017	17809	157134
1018	17826	157112
1019	17843	157093
1020	17861	157077
1021	17878	157056
1022	17896	157048
1023	17913	157022
1024	17932	157022
1025	17950	157009
1026	17968	156992
1027	17985	156973
1028	18003	156960
1029	18020	156939
1030	18039	156933
1031	18056	156907
1032	18073	156887
1033	18090	156868
1034	18108	156856
1035	18126	156836
1036	18143	156821
1037	18161	156804
1038	18178	156782
1039	18194	156756
1040	18215	156767
1041	18234	156761
1042	18252	156744
1043	18271	156738
1044	18290	156737
1045	18310	156740
1046	18330	156748
1047	18355	156790
1048	18380	156837
1049	18399	156830
1050	18417	156819
1051	18435	156808
1052	18455	156811
1053	18474	156805
1054	18493	156802
1055	18512	156794
1056	18530	156783
1057	18549	156780
1058	18570	156791
1059	18592	156810
1060	18613	156819
1061	18632	156813
1062	18652	156817
1063	18670	156805
1064	18689	156799
1065	18709	156803
1066	18726	156779
1067	18745	156776
1068	18766	156784
1069	18786	156784
1070	18805	156779
1071	18823	156770
1072	18843	156769
1073	18861	156756
1074	18877	156730
1075	18896	156724
1076	18915	156714
1077	18933	156703
1078	18952	156699
1079	18972	156699
1080	18991	156689
1081	19008	156669
1082	19025	156649
1083	19053	156716
1084	19081	156785
1085	19103	156805
1086	19133	156886
1087	19165	156989
1088	19192	157050
1089	19220	157117
1090	19254	157233
1091	19292	157377
1092	19315	157402
1093	19333	157387
1094	19353	157388
1095	19374	157396
1096	19393	157395
1097	19415	157411
1098	19446	157501
1099	19468	157516
1100	19493	157557
1101	19512	157548
1102	19532	157552
1103	19550	157540
1104	19571	157543
1105	19591	157550
1106	19611	157545
1107	19635	157583
1108	19658	157605
1109	19677	157601
1110	19697	157598
1111	19716	157589
1112	19735	157582
1113	19754	157577
1114	19775	157584
1115	19795	157579
1116	19814	157574
1117	19835	157585
1118	19853	157566
1119	19875	157580
1120	19897	157598
1121	19920	157627
1122	19941	157635
1123	19963	157650
1124	19984	157654
1125	20007	157675
1126	20030	157699
1127	20054	157729
1128	20076	157747
1129	20096	157751
1130	20118	157767
1131	20140	157775
1132	20168	157839
1133	20196	157905
1134	20219	157923
1135	20244	157966
1136	20264	157967
1137	20284	157959
1138	20303	157954
1139	20328	157993
1140	20353	158029
1141	20382	158098
1142	20405	158118
1143	20425	158121
1144	20445	158114
1145	20462	158096
1146	20480	158073
1147	20497	158051
1148	20514	158024
1149	20531	158002
1150	20555	158033
1151	20575	158028
1152	20592	158006
1153	20609	157984
1154	20626	157956
1155	20644	157944
1156	20662	157922
1157	20679	157900
1158	20698	157889
1159	20715	157867
1160	20736	157876
1161	20755	157862
1162	20773	157846
1163	20790	157822
1164	20807	157799
1165	20825	157783
1166	20843	157762
1167	20861	157746
1168	20878	157726
1169	20899	157730
1170	20923	157754
1171	20940	157729
1172	20957	157707
1173	20974	157683
1174	20991	157659
1175	21009	157639
1176	21026	157620
1177	21043	157597
1178	21061	157575
1179	21078	157555
1180	21101	157575
1181	21119	157557
1182	21137	157537
1183	21154	157513
1184	21172	157496
1185	21190	157478
1186	21208	157464
1187	21225	157441
1188	21243	157421
1189	21260	157401
1190	21284	157423
1191	21302	157412
1192	21321	157397
1193	21339	157383
1194	21357	157367
1195	21375	157349
1196	21393	157334
1197	21411	157312
1198	21430	157304
1199	21447	157280
1200	21469	157292
1201	21488	157286
1202	21508	157281
1203	21526	157262
1204	21545	157252
1205	21564	157247
1206	21584	157239
1207	21603	157230
1208	21620	157209
1209	21638	157190
1210	21660	157202
1211	21677	157183
1212	21696	157170
1213	21713	157149
1214	21732	157132
1215	21750	157118
1216	21768	157103
1217	21786	157084
1218	21803	157062
1219	21821	157045
1220	21842	157049
1221	21860	157029
1222	21876	157002
1223	21895	156987
1224	21912	156963
1225	21930	156949
1226	21949	156940
1227	21967	156924
1228	21985	156902
1229	22002	156882
1230	22020	156861
1231	22042	156872
1232	22060	156857
1233	22077	156833
1234	22094	156810
1235	22112	156793
1236	22130	156772
1237	22148	156753
1238	22165	156729
1239	22182	156708
1240	22201	156698
1241	22218	156676
1242	22236	156659
1243	22260	156685
1244	22279	156675
1245	22301	156682
1246	22322	156685
1247	22343	156690
1248	22365	156702
1249	22383	156686
1250	22402	156673
1251	22421	156663
1252	22444	156682
1253	22463	156670
1254	22481	156653
1255	22498	156631
